"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/08-00:21:35 - Trial_133","finished","-","","","2024-11-08T06:26:31.000Z","29","","true","96","53","448","0.000018614262321138297","1.0554590451671753","RMSprop","4","0.0002929945174726015","31","0.7957537154989385","0.7297255703654075","0.724464957436938","0.7359796334490925","0.6191638469696045","0.8717985000707513","0.8362423347717465","0.8209311777746525","0.8580894633177608","0.4378645347582327"
"11/08-00:21:35 - Trial_132","finished","-","","","2024-11-08T06:25:59.000Z","31","","true","96","54","384","0.00001482263427289779","1.174228044048474","RMSprop","4","0.000016314027395459175","36","0.7830148619957538","0.7109318194429131","0.7037922721414922","0.7203453453453453","0.6070390319824219","0.8497240696193575","0.8038719405434505","0.7957685983504266","0.8136295854233722","0.5051447676645743"
"11/08-00:21:35 - Trial_131","finished","-","","","2024-11-08T06:25:27.000Z","31","","true","96","59","384","0.000023003534856816544","1.2410783377363437","RMSprop","5","0.000028133021809368625","35","0.7974522292993631","0.7304696132132718","0.7257738738315562","0.7359217563396763","0.5809220242500305","0.9009480684873356","0.8716369871473514","0.8580674292594823","0.8890112749913794","0.36537877691758647"
"11/08-00:21:35 - Trial_130","finished","-","","","2024-11-08T06:25:00.000Z","25","","true","96","57","448","0.0008238813996611185","1.1154934215099563","Adagrad","4","0.00005231121681883161","24","0.7915074309978769","0.7219311739946291","0.7127420711593703","0.7348446449389223","0.6227777242660523","0.9165133720107542","0.8936090569362364","0.8775726261020379","0.9150515885343926","0.32553009527760585"
"11/08-00:21:35 - Trial_129","finished","-","","","2024-11-08T06:24:40.000Z","19","","true","64","50","448","0.000012143914937103042","2.041565119117684","RMSprop","6","0.00012422957278678356","11","0.7447983014861995","0.42686785105865177","0.37239915074309976","0.5","0.5467818274691298","0.7601528229800482","0.4330227601420264","0.8800424628450106","0.5005892751915144","0.5185190243226988"
"11/08-00:21:35 - Trial_128","finished","-","","","2024-11-08T06:24:08.000Z","30","","true","96","55","448","0.000016931779818541847","1.3329516102397112","RMSprop","6","0.000019719345655450384","34","0.7961783439490446","0.7238886174890083","0.7143286326721108","0.7372303152285541","0.5394207119941712","0.8691099476439791","0.8316959217451271","0.8213740498320277","0.8445941095752569","0.4287329428904766"
"11/08-00:21:35 - Trial_127","finished","-","","","2024-11-08T06:23:49.000Z","18","","true","96","52","448","0.00002146742724595956","1.1910274287313627","Adadelta","5","0.0000145682492199823","11","0.7494692144373672","0.4428864931099079","0.5229581922158681","0.5016122334794806","0.8363455414772034","0.7462855525682751","0.4411407209523312","0.4827733200763823","0.4983880164330806","0.8366583223278458"
"11/08-00:21:35 - Trial_126","finished","-","","","2024-11-08T06:23:18.000Z","29","","true","96","60","448","0.00001137405729330633","1.0719270360719897","RMSprop","5","0.000034098235001429216","33","0.7906581740976646","0.7248075989097686","0.7199579068724306","0.7305415250121419","0.6205715048313141","0.8429319371727748","0.7977919947966632","0.7851828950954147","0.8154399732218506","0.5249274667050388"
"11/08-00:21:35 - Trial_125","finished","-","","","2024-11-08T06:22:43.000Z","33","","true","96","58","448","0.000016767105317269625","1.2562435084465968","RMSprop","7","0.00001201361454443217","40","0.7847133757961784","0.7179146971832933","0.7153223788862086","0.7207541445505932","0.6171907997131347","0.855950191028725","0.8092404625613971","0.8008570120999039","0.8192700123930647","0.4763957225793117"
"11/08-00:21:35 - Trial_124","finished","-","","","2024-11-08T06:22:22.000Z","19","","true","96","57","448","0.005375512285350044","1.1584023445012523","RMSprop","5","0.00002251270574891338","12","0.7732484076433122","0.6942611328945527","0.6910760070896358","0.6978687765066467","1.177260489463806","0.9998584972406962","0.9998089839185108","0.9997118155619596","0.9999062441402587","0.0277845395250699"
"11/08-00:21:35 - Trial_123","finished","-","","","2024-11-08T06:21:49.000Z","31","","true","64","58","448","0.000014260936333464738","1.0009661419819018","RMSprop","6","0.000017661026570078348","31","0.7923566878980892","0.7255350076660341","0.7163994169096211","0.7383528046996205","0.6099540663732065","0.8610442903636621","0.8247234640116787","0.8092794071044451","0.8478480417017968","0.47709676005818824"
"11/08-00:21:35 - Trial_122","finished","-","","","2024-11-08T06:21:13.000Z","34","","true","96","59","448","0.000011473098739684464","1.0569987218823524","RMSprop","5","0.000013188536954511836","42","0.7893842887473461","0.7299236994219652","0.7255813953488373","0.7349988193624557","0.6219385302066803","0.8665628979765105","0.8263744438251517","0.8124892202600029","0.8453037101258252","0.46986579774199305"
"11/08-00:21:35 - Trial_121","finished","-","","","2024-11-08T06:20:37.000Z","34","","true","96","59","448","0.000011613847080140824","1.0630912415568634","RMSprop","5","0.00001897415614116967","42","0.8","0.7368002678493675","0.7272775537170881","0.7500619080047051","0.5951474881172181","0.8477430309891043","0.8059067943235214","0.7928649394984806","0.8243676022365329","0.51051615863233"
"11/08-00:21:35 - Trial_120","finished","-","","","2024-11-08T06:20:05.000Z","31","","true","96","59","448","0.000016748602064025492","1.0662223321237694","RMSprop","5","0.000018576925996524793","35","0.7936305732484077","0.7345527429526704","0.7288764672698476","0.7414891201910787","0.6178054904937744","0.8713739917928399","0.8346071274230492","0.8188111789169603","0.8573179626403015","0.43586903327220194"
"11/08-00:21:35 - Trial_119","finished","-","","","2024-11-08T06:19:37.000Z","27","","true","96","55","448","0.000029599738596300523","1.3133987207621196","RMSprop","6","0.00007031978924470413","28","0.7927813163481954","0.7215680801949054","0.7213133399672434","0.7218248093032462","0.5781235325336457","0.8607612848450544","0.8153373259548227","0.8083420259710066","0.8234013901665043","0.4543427816919378"
