"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_70","finished","-","","","2024-11-08T04:30:24.000Z","30","","false","96","28","512","0.00004084010530940428","","RMSprop","5","0.43436014667532175","0.0000994526517002928","21","0.797027600849257","0.7113568017526442","0.7207362381545841","0.7039549702046468","0.42638414025306703","0.899108532616386","0.862183784729986","0.8662866480142228","0.8583113821965278","0.2690197414643056"
"11/07-22:54:51 - Trial_69","finished","-","","","2024-11-08T04:29:57.000Z","25","","false","128","22","448","0.0009030333277353162","","RMSprop","6","0.23063185977937767","0.0001417980676953882","13","0.7562632696390659","0.7009263126966876","0.6895491503612061","0.7323903048316474","0.6253569941771658","0.9719824536578464","0.963537696053814","0.9494357774730988","0.9804505303175516","0.08756825574008482"
"11/07-22:54:51 - Trial_68","finished","-","","","2024-11-08T04:29:28.000Z","27","","false","192","29","384","0.00008959418556648877","","RMSprop","7","0.2955496593210937","0.0006864265336692267","16","0.7613588110403398","0.7036809997259601","0.6916467982392","0.7349710400402921","0.4175653365942148","0.8583557379368898","0.8296262952969331","0.8094157424337467","0.874024964689858","0.2885912705112148"
"11/07-22:54:51 - Trial_67","finished","-","","","2024-11-08T04:29:01.000Z","25","","false","160","24","384","0.003766140635105152","","Adagrad","4","0.5158144142126723","0.00017207834997779088","13","0.7974522292993631","0.6987506573617408","0.7301592439150699","0.6824081674533141","0.4698529839515686","0.9523135701146171","0.9332032014616892","0.9473095481203128","0.9209671216340476","0.16924863308668137"
"11/07-22:54:51 - Trial_66","finished","-","","","2024-11-08T04:28:34.000Z","25","","false","128","34","384","0.01672378600282161","","RMSprop","10","0.3767424625701674","0.000025762359611957578","11","0.7677282377919321","0.7010811742759743","0.6936067980602394","0.7118427893518293","0.6766373107307836","0.9889627847743032","0.9851725944799032","0.980264398044598","0.9903399428499352","0.0972390930567469"
"11/07-22:54:51 - Trial_65","finished","-","","","2024-11-08T04:27:58.000Z","34","","false","192","31","512","0.09456278652260842","","RMSprop","5","0.40825086388943144","0.00029592506246003676","31","0.7817409766454353","0.7018593795565784","0.7030962557092109","0.7006716378444127","0.7703364720711341","0.9871232489033536","0.9827641413027536","0.9771415528074812","0.988734990423171","0.1459030531145431"
"11/07-22:54:51 - Trial_64","finished","-","","","2024-11-08T04:27:28.000Z","28","","false","160","26","512","0.032031030248169154","","RMSprop","6","0.49701051319100453","0.00004789166995274563","20","0.7830148619957538","0.6734783527683542","0.7091577443045907","0.6578687796464823","0.7331870476404826","0.9847177019951888","0.9789251354062452","0.9845625521965748","0.9735830837380044","0.1371163699362013"
"11/07-22:54:51 - Trial_63","finished","-","","","2024-11-08T04:26:58.000Z","28","","false","128","29","512","0.02165465360046994","","RMSprop","9","0.26819393968018596","0.00007084902691124894","17","0.7583864118895967","0.7095094181083399","0.6989295113737399","0.7354469060351414","0.6707907946486222","0.974388000566011","0.9661018804221172","0.9528024703680342","0.9817255639147128","0.14910006523132324"
"11/07-22:54:51 - Trial_62","finished","-","","","2024-11-08T04:26:30.000Z","26","","false","160","27","512","0.05415328718553059","","RMSprop","5","0.33956474767850586","0.00009643655525049736","12","0.7617834394904459","0.7006850359396356","0.6894149001440562","0.725034099328398","0.5339507937431336","0.9070326871373992","0.8814678423163688","0.8649642174373615","0.9041051851235138","0.2846084664265315"
"11/07-22:54:51 - Trial_61","finished","-","","","2024-11-08T04:25:58.000Z","30","","false","160","30","512","0.03912268688935586","","RMSprop","4","0.4310918663041019","0.0001334274989703929","24","0.7800424628450107","0.6998993342084598","0.7045328791433435","0.6958984058831238","0.6984907984733582","0.9859912268289232","0.9811333698621094","0.9757957547657824","0.9867805579938098","0.14264905899763108"
