"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/07-02:34:17 - Trial_56","finished","-","","","2024-11-07T08:19:15.000Z","35","","true","192","41","320","0.0003102514578286163","1.6554097006032515","Adagrad","3","0.4628740989847654","0.0000782962778892364","41","0.6841625361273396","0.5860328674316406","0.8458685942258178","0.435230058592719"
"11/07-02:34:17 - Trial_55","finished","-","","","2024-11-07T08:18:37.000Z","36","","true","224","44","256","0.0004747083183574119","1.2804274444115715","Adagrad","2","0.6436956419144199","0.00047743167682866414","44","0.7187458338888149","0.6187313253229315","0.8976678023578837","0.4123429097235203"
"11/07-02:34:17 - Trial_54","finished","-","","","2024-11-07T08:17:57.000Z","38","","true","160","47","256","0.0020307300336301327","1.415385316528915","Adagrad","2","0.5763753001016889","0.00023604000236328228","47","0.7025498575498575","0.8630113005638123","0.9916496652109612","0.08058647049797905"
"11/07-02:34:17 - Trial_53","finished","-","","","2024-11-07T08:17:16.000Z","39","","true","160","48","256","0.0005311360708729841","1.68775373438426","Adagrad","2","0.5624584229032082","0.00024075899039403608","48","0.7216639836063845","0.5677816351254781","0.926978223810684","0.31844810876581403"
"11/07-02:34:17 - Trial_52","finished","-","","","2024-11-07T08:16:30.000Z","44","","true","96","45","256","0.000028149421872599657","2.017789392980038","Adagrad","1","0.5105363323468233","0.0001469951899541363","45","0.6904594820384294","0.6805066490173339","0.7956753428369576","0.6673161661302721"
"11/07-02:34:17 - Trial_51","finished","-","","","2024-11-07T08:15:43.000Z","45","","true","128","50","256","0.00009957405058683736","1.9782368288714691","Adagrad","1","0.6393984354126115","0.00015824093824688402","50","0.6600530750256368","0.5693214488656897","0.6928713656529206","0.538659390594278"
"11/07-02:34:17 - Trial_50","finished","-","","","2024-11-07T08:14:33.000Z","68","","true","32","54","448","0.0001395816702035189","2.238343464464476","Adagrad","9","0.8622702346143216","0.0007894505100068273","54","0.47989420701707186","0.5155227558838354","0.3916205927377979","0.4584595977720632"
"11/07-02:34:17 - Trial_49","finished","-","","","2024-11-07T08:13:39.000Z","52","","true","64","39","384","0.0001934133638020362","3.0985319400263394","Adagrad","0","0.4238355725527079","0.00006225280099608704","39","0.6879364532235958","0.4958234550179662","0.8577329755112617","0.3831681029216663"
"11/07-02:34:17 - Trial_48","finished","-","","","2024-11-07T08:13:00.000Z","37","","false","256","51","256","0.00034832483946809975","2.4221463285967575","Adadelta","3","0.5835435902422605","0.0049715209885576135","51","0.43088448525857903","0.5922798931598663","0.4304480980012894","0.5944163607699531"
"11/07-02:34:17 - Trial_47","finished","-","","","2024-11-07T08:12:14.000Z","44","","true","96","46","320","0.0012856459827379088","1.57759839186008","RMSprop","2","0.4875298003583477","0.000049525806236713714","46","0.7019017499514526","1.3994310903549194","0.9994339734471314","0.010655118677154737"
"11/07-02:34:17 - Trial_46","finished","-","","","2024-11-07T08:11:18.000Z","55","","true","64","58","256","0.00006292015669429435","1.9739173051697223","Adagrad","7","0.7836122446925257","0.0003749724783354404","58","0.42700729927007297","0.6353270749788027","0.33847218414327523","0.6158133406896849"
"11/07-02:34:17 - Trial_45","finished","-","","","2024-11-07T08:10:29.000Z","47","","true","96","55","320","0.0006517221111033743","2.7535654131821015","SGD","4","0.6648253758148511","0.00003575048903223468","55","0.4451806696704656","0.6211838126182556","0.353827379355757","0.6235145129062034"
"11/07-02:34:17 - Trial_44","finished","-","","","2024-11-07T08:09:33.000Z","54","","true","64","56","256","0.0001651941569183568","2.5943740567514646","Adagrad","2","0.5956187944300171","0.0000891288508051259","56","0.7126449223308805","0.49477604917577794","0.8147152749105715","0.4177906975015864"
"11/07-02:34:17 - Trial_43","finished","-","","","2024-11-07T08:08:43.000Z","48","","true","96","56","256","0.00014444916002571224","2.044845330657749","Adagrad","2","0.5896321552881331","0.00014822475726313422","56","0.7337009443260443","0.5130346155166626","0.7994600674443754","0.4729456901550293"
"11/07-02:34:17 - Trial_42","finished","-","","","2024-11-07T08:07:55.000Z","47","","true","128","52","256","0.00027804328688898794","2.268593094343291","Adagrad","1","0.44738039944293206","0.0002584346123254316","52","0.7122065618416917","0.47761939073863785","0.8748046181768324","0.3491432523088796"
"11/07-02:34:17 - Trial_41","finished","-","","","2024-11-07T08:07:09.000Z","45","","true","128","48","256","0.000055660616363484807","2.5378188634948327","Adagrad","1","0.5389675146722305","0.00012435544323707244","48","0.716455310944017","0.6032426420011019","0.7669308949907956","0.5836854555777141"
"11/07-02:34:17 - Trial_40","finished","-","","","2024-11-07T08:06:19.000Z","48","","false","96","44","384","0.08671660774410028","2.371728957696738","Adagrad","0","0.34501722051001427","0.0006329937656827946","44","0.7194843498086612","0.6023868489265441","0.9994180268070012","0.051836849341320025"
"11/07-02:34:17 - Trial_39","finished","-","","","2024-11-07T08:05:42.000Z","35","","true","224","36","512","0.000019770028290072693","2.7168450803253053","SGD","4","0.5824759913404196","0.00006816972003082995","36","0.43033381712626995","0.6861996759067882","0.32963384557010056","0.6922348439693451"
"11/07-02:34:17 - Trial_38","finished","-","","","2024-11-07T08:04:40.000Z","59","","true","32","41","448","0.00003422306299993904","2.966142201321563","Adagrad","3","0.7111338463698589","0.000021032352215479033","41","0.4329400433421623","0.6277720469075281","0.3331760709567843","0.6276763383619386"
"11/07-02:34:17 - Trial_37","finished","-","","","2024-11-07T08:03:50.000Z","48","","false","96","51","320","0.000676853612957804","3.122370441403044","Adadelta","2","0.6135530824473482","0.00005032171763058731","51","0.42895247332686715","0.5587167656421661","0.4310900016100467","0.5448884222958539"
