"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","threshold","trial_number","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/06-19:48:33 - Trial_67","finished","-","","","2024-11-07T02:22:09.000Z","60","","false","160","27","448","0.04018429925799791","2.07300583293891","SGD","0.5772252487286232","","0.0010024475016249456","27","0.5971350626198602","0.4595660209655762","0.6992284839865573","0.3190963308016459"
"11/06-19:48:33 - Trial_66","finished","-","","","2024-11-07T02:20:58.000Z","64","","false","192","33","512","0.026339844923229876","1.0208932210234758","Adagrad","0.4954260327055384","","0.0037101909697374777","33","0.7012907879029049","0.8554814412043645","0.9838201379089512","0.1852346247917897"
"11/06-19:48:33 - Trial_65","finished","-","","","2024-11-07T02:19:44.000Z","67","","false","256","42","512","0.011978966171877192","1.1921688682558536","SGD","0.39703118735719634","","0.000023014113290295297","42","0.703628194963567","0.6385973334312439","0.7749798158908164","0.5295249415295464"
"11/06-19:48:33 - Trial_64","finished","-","","","2024-11-07T02:18:37.000Z","61","","false","224","30","448","0.0183230806844703","2.6409659920838515","SGD","0.5432802478970006","","0.006776952553525883","30","0.607827309522841","0.4485164122147994","0.6677230438798563","0.39841507375240326"
"11/06-19:48:33 - Trial_63","finished","-","","","2024-11-07T02:17:24.000Z","67","","false","160","35","512","0.07160517366899591","1.6226199370241905","SGD","0.35357772941721877","","0.008482444125899404","35","0.6253245961597074","0.8142785708109538","0.7168245187802935","0.560318042172326"
"11/06-19:48:33 - Trial_62","finished","-","","","2024-11-07T02:16:07.000Z","71","","false","192","48","512","0.05319303410437457","2.3173135570897694","SGD","0.4752270476459884","","0.004772425374771782","48","0.6950391346116203","0.4302860956925612","0.8593559910668869","0.25923571916850835"
"11/06-19:48:33 - Trial_61","finished","-","","","2024-11-07T02:14:55.000Z","66","","false","192","43","512","0.08242820759812114","2.1275634744482823","SGD","0.45171076181390774","","0.007274143622938029","43","0.6767527337613811","0.44749935544454134","0.835760951575907","0.2722835113873353"
"11/06-19:48:33 - Trial_60","finished","-","","","2024-11-07T02:13:53.000Z","56","","false","224","17","384","0.04345607314835888","1.3631571298089626","Nadam","0.6583492694079284","","0.002267493974709425","17","0.43074691805656273","1.1319606791843069","0.4304939962930131","1.0662982184439898"
"11/06-19:48:33 - Trial_59","finished","-","","","2024-11-07T02:12:50.000Z","57","","false","224","22","448","0.005584478713695673","1.0980137775055618","SGD","0.2850382184860517","","0.004915907621799346","22","0.5086315615448438","0.695290289141915","0.5243306844521314","0.7019243650138378"
"11/06-19:48:33 - Trial_58","finished","-","","","2024-11-07T02:11:36.000Z","67","","false","256","31","448","0.03028329065359854","1.518183972509391","SGD","0.4205295949019921","","0.0018157139297760344","31","0.7017175596884062","0.5570802927017212","0.7617156733276517","0.4502113834023475"
"11/06-19:48:33 - Trial_57","finished","-","","","2024-11-07T02:10:16.000Z","74","","false","224","47","512","0.09719898232329575","1.2816962316733314","Adam","0.48880884163335214","","0.0033506597115484787","47","0.4600636498017527","0.8224501718174327","0.4809554061980561","0.8425250891596079"
"11/06-19:48:33 - Trial_56","finished","-","","","2024-11-07T02:08:55.000Z","74","","false","256","58","512","0.013018216175217754","1.1121880394158363","Adagrad","0.7853039580922765","","0.0011406637664597668","58","0.6558332272617987","0.9669331967830658","0.995997987546508","0.05406160985252687"
"11/06-19:48:33 - Trial_55","finished","-","","","2024-11-07T02:07:41.000Z","68","","false","256","52","448","0.04654920848717313","1.3021008536147207","SGD","0.42476558002844206","","0.0028786469920583087","52","0.5899210412159333","0.8831256747245788","0.7020378711988917","0.6286014829363141"
